Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-11-15 04-PM,BTCUSD,5456.14,5456.74,5413.16,5424.16,213.75,1160455.58
2018-11-15 03-PM,BTCUSD,5200,5500,5199.8,5456.14,2527.6,13597978.53
2018-11-15 02-PM,BTCUSD,5401.07,5403.42,5199.8,5200,1885.36,9970443.11
2018-11-15 01-PM,BTCUSD,5394.94,5422.65,5378.01,5401.07,480.46,2593774.83
2018-11-15 12-PM,BTCUSD,5403.17,5451.42,5371.35,5394.94,594.39,3220167.58
2018-11-15 11-AM,BTCUSD,5387.26,5436.95,5349.45,5403.17,787.7,4253409.19
2018-11-15 10-AM,BTCUSD,5556.86,5567.56,5344.6,5387.26,2058.08,11128205.92
2018-11-15 09-AM,BTCUSD,5534.01,5575,5526.13,5556.86,283.17,1572150.69
2018-11-15 08-AM,BTCUSD,5560.59,5585,5521.03,5534.01,426.35,2370473.96
2018-11-15 07-AM,BTCUSD,5533.3,5575,5533.01,5560.59,333.21,1851320.33
2018-11-15 06-AM,BTCUSD,5554.92,5564.99,5499.02,5533.3,460.84,2546384.95
2018-11-15 05-AM,BTCUSD,5543.57,5565.46,5522,5554.92,680.89,3773644.34
2018-11-15 04-AM,BTCUSD,5560.78,5560.78,5466.06,5543.57,743.02,4096759.6
2018-11-15 03-AM,BTCUSD,5527.75,5574.96,5527.75,5560.78,742.13,4120035.6
2018-11-15 02-AM,BTCUSD,5591.08,5591.08,5484.4,5527.75,921.56,5103789.54
2018-11-15 01-AM,BTCUSD,5574.2,5613.25,5552.46,5591.08,593.66,3311694.23
2018-11-15 12-AM,BTCUSD,5595.91,5641,5555.5,5574.2,1288.58,7211546.71
2018-11-14 11-PM,BTCUSD,5512.55,5618.27,5500.28,5595.91,1016.5,5658085.67
2018-11-14 10-PM,BTCUSD,5558.06,5560,5497.5,5512.55,1131.55,6248126.58
2018-11-14 09-PM,BTCUSD,5418.83,5618.27,5375.18,5558.06,1547.3,8534627.17
2018-11-14 08-PM,BTCUSD,5537.65,5537.65,5324,5418.83,1530.98,8274240.4
2018-11-14 07-PM,BTCUSD,5559.1,5614.36,5398.01,5537.65,3105.85,17082918.64
